Internal Name,Pattern Signature,Translated Name,Function (as far as I can tell)
nbt/literal/collection,qqddqdewqaeaaee,Secretary's Reflection: Collection,"Adds an empty NBT Compound Tag to the stack – seems to use String NBT tags as an index with Surgeon’s Exaltation to add to them, but I haven’t found a way to create string NBT iotas yet"
nbt/literal/list,eedwaqq,Secretary's Reflection: Vacant List,"Adds an empty NBT list, normal list manip works, can only have other NBT tags added, and only one type of tag per list"
nbt/literal/array1,eedwaqqe,Secretary's Reflection: Vacant Byte Array,"Adds an empty NBT byte array, functions like the above but restricted to bytes"
nbt/literal/array2,eedwaqqew,Secretary's Reflection: Vacant Short Array,"Adds an empty NBT INT array (NOT SHORT, despite the name), functions like the above but restricted to ints"
nbt/literal/array4,eedwaqqewww,Secretary's Reflection: Vacant Integer Array,"Adds an empty NBT LONG array (NOT INT, despite the name), functions like the above but restricted to longs"
nbt/serialize,edwaq,Exporter's Purification,Takes any iota as input and crashes the game; https://mclo.gs/4OQSUWj
tripwire,edewqwaqede,Tripwire Reflection,Adds a “Tripwire” iota to the stack – currently unsure what this does
nbt/deserialize,edwaqa,Importer's Purification,"Takes an NBT Compound and returns an iota; presumably related to nbt/serialize, potentially allows constructing arbitrary iotas if Compound NBT iotas can be edited; https://shadowcube.twilightparadox.com/2025-10-25%2017-32-38.mp4"
prop_fi,aawqe,N/A,"Takes a property, and returns an “access iota”. The type returned by this one forbids reading it, and adds any written iotas to the beginning of the list in the prop (fi = “first in”, I guess)"
prop_fo,aawqd,N/A,"Takes a property, and returns an “access iota”. The type returned by this one forbids writing, but allows reading, which removes the first iota in the prop’s list and puts it on the stack (“first out”)"
prop_li,aawdwq,N/A,"Same as prop_fi, but appends instead (“last in”)"
prop_lo,aawdwa,N/A,"Same as prop_fo, but pops from the end of the list (“last out”)"
spellmind/save,aqqqqqeawqwqwqwqwqweawwqwwqwwqwwqwwqwweawwwqwwwqwwwqwwwqwwwqwww,N/A,Crashes: https://mclo.gs/E2tnstu
spellmind/restore,deeeeeqdwewewewewewqdwwewwewwewwewwewwqdwwwewwwewwwewwwewwwewww,N/A,Also crashes
